timestamp,open,high,low,close,volume
2023-12-11,43792.6,43814.7,40200.0,41250.9,32119.9090069
2023-12-12,41248.3,42100.0,40682.0,41490.4,14197.51802171
2023-12-13,41490.4,43500.0,40516.8,42869.6,15172.21696139
2023-12-14,42869.5,43436.7,41202.0,43025.5,18453.06371431
2023-12-15,43025.6,43086.1,41652.5,41939.1,11849.35374699
2023-12-16,41943.1,42717.4,41613.2,42273.0,7018.49156629
2023-12-17,42272.9,42430.0,41252.6,41376.1,8710.68480595
2023-12-18,41374.4,42772.0,40544.4,42653.9,17007.66186015
2023-12-19,42652.1,43487.5,41811.3,42279.0,14566.93339055
2023-12-20,42279.1,44300.0,42200.2,43670.1,17258.32974365
2023-12-21,43670.2,44248.2,43293.0,43859.8,12457.68090873
2023-12-22,43859.9,44406.3,43415.0,43970.7,9820.99147012
2023-12-23,43970.7,43990.0,43288.0,43703.9,4738.25836358
2023-12-24,43703.8,43944.3,42521.9,42986.1,6756.98822602
2023-12-25,42986.1,43807.9,42725.7,43569.2,7317.5732072
2023-12-26,43569.2,43590.7,41610.0,42513.2,14328.36837927
2023-12-27,42513.2,43691.5,42111.1,43431.9,10790.57422662
2023-12-28,43431.9,43788.6,42267.5,42562.6,11995.88647046
2023-12-29,42562.6,43113.6,41267.1,42064.1,16648.48853238
2023-12-30,42064.0,42611.5,41521.6,42147.5,9065.15960695
2023-12-31,42147.5,42888.0,41971.6,42283.0,8220.41272163
2024-01-01,42284.0,44200.0,42182.0,44186.8,9208.74124035
2024-01-02,44186.9,45884.6,44153.3,44955.9,22725.63187567
2024-01-03,44955.9,45515.8,40157.3,42839.6,42418.67607267
2024-01-04,42839.5,44888.0,42614.7,44153.9,20648.61582672
2024-01-05,44151.3,44393.0,42250.1,44145.4,22996.95760799
2024-01-06,44146.4,44208.2,43392.2,43970.3,6511.72435718
2024-01-07,43968.2,44481.2,43580.2,43929.9,9547.26250619
2024-01-08,43930.0,47300.0,43180.1,46952.0,30217.1474691
2024-01-09,46952.0,48023.7,44641.0,46109.3,33459.60555624
2024-01-10,46109.4,47695.0,44289.5,46645.9,44850.0632577
2024-01-11,46645.9,48988.0,45569.7,46338.9,34682.58580678
2024-01-12,46338.9,46519.9,41360.9,42784.0,33022.16065529
2024-01-13,42784.1,43250.0,42437.7,42848.8,12005.1031022
2024-01-14,42848.7,43079.3,41721.0,41731.1,9540.99415434
2024-01-15,41733.2,43388.0,41715.2,42525.6,13418.98262117
2024-01-16,42514.5,43585.0,42045.4,43139.8,13176.25831477
2024-01-17,43139.7,43200.0,42205.1,42777.1,9060.15866766
2024-01-18,42777.1,42925.5,40678.3,41326.0,14465.61906715
2024-01-19,41325.9,42187.2,40258.2,41660.0,15676.69827158
2024-01-20,41660.1,41875.0,41452.0,41693.8,3721.97261345
2024-01-21,41693.8,41883.2,41501.0,41582.9,2934.29571937
2024-01-22,41582.4,41689.8,39400.0,39571.0,22249.16542158
2024-01-23,39571.1,40194.3,38554.0,39900.2,16630.80730532
2024-01-24,39899.4,40588.0,39497.3,40085.1,13420.74065064
2024-01-25,40085.2,40306.0,39538.9,39962.6,9277.90415915
2024-01-26,39962.7,42249.9,39825.2,41819.9,19074.80564488
2024-01-27,41820.5,42199.9,41380.4,42120.2,5510.23199482
2024-01-28,42120.1,42838.2,41617.2,42033.2,7021.70689085
