timestamp,open,high,low,close,volume
2026-07-01 12:00:00,58617.6,58682.5,58320.0,58533.2,612.70163064
2026-07-01 13:00:00,58527.3,59505.7,58525.2,59495.0,719.52306366
2026-07-01 14:00:00,59494.6,60095.4,59273.8,59541.0,1293.51259365
2026-07-01 15:00:00,59540.9,60545.4,59517.3,60147.9,1218.68700502
2026-07-01 16:00:00,60147.9,60266.6,59866.6,59931.3,317.40231083
2026-07-01 17:00:00,59931.4,60243.7,59789.6,60193.0,142.08404704
2026-07-01 18:00:00,60193.1,60301.0,60019.1,60178.1,102.79005045
2026-07-01 19:00:00,60176.1,60357.8,59994.6,60031.4,152.70606057
2026-07-01 20:00:00,60031.5,60199.0,59872.5,60133.5,129.91692558
2026-07-01 21:00:00,60133.6,60850.0,60127.5,60813.0,422.12036299
2026-07-01 22:00:00,60813.1,61342.0,60345.1,60482.3,744.06452728
2026-07-01 23:00:00,60482.2,60482.2,59988.0,60036.0,514.81657522
2026-07-02 00:00:00,60036.1,60048.1,59582.6,59745.7,1539.68809477
2026-07-02 01:00:00,59745.8,60338.3,59707.7,60183.1,1778.02834672
2026-07-02 02:00:00,60183.3,60496.0,60019.2,60427.5,232.02379147
2026-07-02 03:00:00,60431.1,61125.3,60302.1,61066.0,438.68236309
2026-07-02 04:00:00,61064.4,61065.7,60734.3,60789.9,429.33916918
2026-07-02 05:00:00,60790.0,60897.1,60500.0,60517.5,1757.41951383
2026-07-02 06:00:00,60517.6,60655.1,60255.0,60265.0,1379.40618705
2026-07-02 07:00:00,60264.5,60304.6,60095.7,60128.6,3244.18396759
2026-07-02 08:00:00,60128.7,60549.9,60121.9,60513.4,628.82673621
2026-07-02 09:00:00,60513.5,61429.5,60367.5,61175.0,856.78540119
2026-07-02 10:00:00,61175.0,61349.9,61044.8,61265.0,356.61728529
2026-07-02 11:00:00,61265.0,61389.6,61122.8,61351.9,615.84272558
2026-07-02 12:00:00,61351.9,61609.8,61153.2,61536.0,698.38254579
2026-07-02 13:00:00,61536.0,62068.9,61501.0,61941.3,2474.47276701
2026-07-02 14:00:00,61941.3,62209.2,61400.1,61700.7,861.46763186
2026-07-02 15:00:00,61700.8,61850.0,61425.0,61606.8,409.4249761
2026-07-02 16:00:00,61606.9,61780.5,61129.0,61678.9,409.21769409
2026-07-02 17:00:00,61678.9,61949.9,61619.1,61664.2,224.82583479
2026-07-02 18:00:00,61664.3,61872.3,61660.9,61761.4,109.05508935
2026-07-02 19:00:00,61761.4,61762.9,61428.6,61482.7,397.72710226
2026-07-02 20:00:00,61478.1,61599.9,61341.5,61584.3,247.00213938
2026-07-02 21:00:00,61584.3,61657.1,61516.7,61593.1,138.87137444
2026-07-02 22:00:00,61593.1,61596.6,61407.1,61468.4,88.77126749
2026-07-02 23:00:00,61468.5,61609.2,61355.6,61559.1,86.14795447
2026-07-03 00:00:00,61559.1,61579.5,61241.0,61302.2,955.60300095
2026-07-03 01:00:00,61302.3,61739.8,61282.0,61590.9,205.21864587
2026-07-03 02:00:00,61591.0,61672.6,61298.1,61435.8,171.78224256
2026-07-03 03:00:00,61435.7,61579.2,61321.9,61435.9,142.05555843
2026-07-03 04:00:00,61435.9,61529.3,61345.0,61448.9,131.3341188
2026-07-03 05:00:00,61448.9,61809.7,61432.1,61698.0,294.60520577
2026-07-03 06:00:00,61698.1,61854.3,61613.4,61707.9,231.79117157
2026-07-03 07:00:00,61707.9,61873.9,61665.7,61756.1,272.5855806
2026-07-03 08:00:00,61756.2,61906.8,61559.1,61587.3,136.14136035
2026-07-03 09:00:00,61587.3,61787.9,61516.6,61715.5,126.4278329
2026-07-03 10:00:00,61715.5,62043.8,61672.2,61915.1,145.73850066
2026-07-03 11:00:00,61915.1,62100.0,61837.6,62018.4,383.7171401
2026-07-03 12:00:00,62018.4,62171.4,61866.0,61979.0,572.65747898
2026-07-03 13:00:00,61979.1,62286.0,61940.7,62117.8,245.20263783
2026-07-03 14:00:00,62117.7,62280.0,61700.0,62169.0,438.66857841
2026-07-03 15:00:00,62169.0,62407.0,61823.2,61929.8,369.61575334
2026-07-03 16:00:00,61929.8,62133.6,61911.1,62109.8,110.71654645
2026-07-03 17:00:00,62110.0,62293.0,62070.9,62199.6,115.63033125
2026-07-03 18:00:00,62199.6,62252.9,62116.6,62207.8,112.29836049
2026-07-03 19:00:00,62207.8,62319.1,62149.1,62209.2,106.88783007
2026-07-03 20:00:00,62209.2,62909.8,62190.1,62778.8,693.24404676
2026-07-03 21:00:00,62778.9,62964.6,62510.5,62731.1,155.02679881
2026-07-03 22:00:00,62731.1,62745.9,62539.3,62570.2,94.1017735
2026-07-03 23:00:00,62570.2,62708.9,62534.1,62590.5,70.9012319
2026-07-04 00:00:00,62587.1,62954.7,62582.8,62754.0,243.86489893
2026-07-04 01:00:00,62754.0,62754.0,62405.0,62472.9,154.28504549
2026-07-04 02:00:00,62472.9,62581.6,62433.4,62543.1,84.18892684
2026-07-04 03:00:00,62543.2,62759.9,62483.9,62627.4,136.82952177
2026-07-04 04:00:00,62627.5,62757.8,62596.6,62690.6,74.49657981
2026-07-04 05:00:00,62690.6,62690.6,62439.2,62470.0,192.94419853
2026-07-04 06:00:00,62470.0,62569.1,62333.1,62498.0,90.27293167
2026-07-04 07:00:00,62498.1,62632.4,62463.6,62560.4,145.62694349
2026-07-04 08:00:00,62560.4,62681.7,62505.4,62568.6,825.63252803
2026-07-04 09:00:00,62568.7,62593.1,62425.1,62495.7,318.5533338
2026-07-04 10:00:00,62495.8,62547.9,62450.4,62513.2,58.97759176
2026-07-04 11:00:00,62513.1,62555.9,62469.8,62493.7,75.75158951
2026-07-04 12:00:00,62493.7,62703.5,62493.6,62666.1,120.89275109
2026-07-04 13:00:00,62666.1,62780.0,62546.4,62592.1,195.56949679
2026-07-04 14:00:00,62592.1,62743.5,62592.0,62700.6,75.23930281
2026-07-04 15:00:00,62700.6,63090.9,62697.7,62939.7,341.77429585
2026-07-04 16:00:00,62939.7,62970.0,62784.4,62921.3,195.86824895
2026-07-04 17:00:00,62921.4,63448.8,62809.1,63282.6,295.33669046
2026-07-04 18:00:00,63282.7,63352.9,63098.6,63169.7,189.2119349
2026-07-04 19:00:00,63169.8,63469.3,63123.3,63299.4,81.21332256
2026-07-04 20:00:00,63299.4,63397.2,63160.7,63235.1,52.16288644
2026-07-04 21:00:00,63235.1,63456.5,63205.5,63297.1,61.26344144
2026-07-04 22:00:00,63297.1,63310.9,63159.9,63197.1,68.26497282
2026-07-04 23:00:00,63197.1,63239.3,62935.1,63140.6,131.09428733
2026-07-05 00:00:00,63140.6,63143.8,62889.6,62987.9,149.75534716
2026-07-05 01:00:00,62988.0,63047.3,62800.0,62886.1,156.05279736
2026-07-05 02:00:00,62886.1,62926.9,62594.0,62698.7,114.34435027
2026-07-05 03:00:00,62698.8,62797.1,62656.0,62768.5,107.47829749
2026-07-05 04:00:00,62768.5,62962.7,62709.2,62819.0,82.8467094
2026-07-05 05:00:00,62819.0,62819.0,62659.1,62742.3,58.4605707
2026-07-05 06:00:00,62742.8,62827.2,62674.2,62780.3,59.50087327
2026-07-05 07:00:00,62780.4,63056.0,62722.1,63021.1,140.46411505
2026-07-05 08:00:00,63021.1,63105.6,62897.3,62916.9,98.00918086
2026-07-05 09:00:00,62916.9,62932.0,62444.4,62625.3,264.70371213
2026-07-05 10:00:00,62625.3,62755.2,62542.8,62755.2,93.18846989
2026-07-05 11:00:00,62755.2,62812.3,62615.5,62656.2,159.36508168
2026-07-05 12:00:00,62658.0,62775.2,62571.8,62747.0,84.33059939
2026-07-05 13:00:00,62748.6,62822.8,62648.5,62798.2,98.04017513
2026-07-05 14:00:00,62798.2,62818.7,62661.5,62818.6,154.03098072
2026-07-05 15:00:00,62818.7,62942.7,62682.3,62741.8,220.08683636
2026-07-05 16:00:00,62741.9,62780.5,62604.4,62646.4,124.43586579
2026-07-05 17:00:00,62645.5,62824.0,62604.3,62631.9,46.73682029
2026-07-05 18:00:00,62631.9,62887.8,62621.0,62820.2,48.83007516
2026-07-05 19:00:00,62820.3,62883.6,62726.9,62777.6,28.21579804
2026-07-05 20:00:00,62777.6,62845.4,62709.9,62735.2,21.01073882
2026-07-05 21:00:00,62734.9,63218.4,62614.9,63093.1,277.6149961
2026-07-05 22:00:00,63093.1,63957.4,63002.1,63732.2,702.30786402
2026-07-05 23:00:00,63732.3,63999.8,63563.9,63644.4,246.66122609
2026-07-06 00:00:00,63646.6,63773.5,63346.0,63759.2,305.88105123
2026-07-06 01:00:00,63759.2,63918.9,63555.0,63574.1,146.93468984
2026-07-06 02:00:00,63574.2,63676.7,63375.0,63460.8,217.17671536
2026-07-06 03:00:00,63460.8,63501.5,63139.6,63303.9,197.29854429
2026-07-06 04:00:00,63303.9,63407.0,63193.3,63276.6,144.4087445
2026-07-06 05:00:00,63270.7,63274.1,62950.1,63115.1,238.01031822
2026-07-06 06:00:00,63115.2,63156.9,62976.9,62994.6,152.39593225
2026-07-06 07:00:00,62993.2,63131.9,62891.6,63095.8,219.88569942
2026-07-06 08:00:00,63095.7,63250.0,62842.5,62906.8,284.35459612
