timestamp,open,high,low,close,volume
2022-09-27,33.89,35.41,32.09,32.68,421769.430221
2022-09-28,32.68,33.81,31.64,33.23,312274.42523
2022-09-29,33.23,34.42,32.64,33.93,270929.393612
2022-09-30,33.93,35.21,32.62,33.25,435224.020995
2022-10-01,33.24,33.25,32.34,32.45,166384.856138
2022-10-02,32.45,33.01,31.87,32.05,168031.997043
2022-10-03,32.05,33.27,31.73,32.9,186012.69102
2022-10-04,32.9,34.39,32.83,34.1,217836.909118
2022-10-05,34.1,34.37,33.18,34.04,156834.235223
2022-10-06,34.04,34.5,33.23,33.36,221494.133789
2022-10-07,33.35,33.76,32.43,32.98,235638.115596
2022-10-08,32.97,33.08,32.36,32.57,79927.639324
2022-10-09,32.58,33.13,32.45,32.92,104934.533679
2022-10-10,32.92,33.46,31.87,31.96,189935.458157
2022-10-11,31.95,31.95,30.42,30.81,204804.492304
2022-10-12,30.8,31.54,30.68,31.16,123709.680308
2022-10-13,31.16,31.2,27.7,30.49,620357.700992
2022-10-14,30.48,31.98,29.64,29.99,228760.125477
2022-10-15,29.99,30.21,29.43,29.6,103389.219444
2022-10-16,29.59,30.54,29.56,30.17,103886.119608
2022-10-17,30.17,31.29,29.85,31.22,162058.474989
2022-10-18,31.22,31.49,29.73,30.15,223960.40487
2022-10-19,30.14,30.26,28.61,28.86,195382.671557
2022-10-20,28.86,29.47,27.97,28.01,227425.190387
2022-10-21,28.02,28.28,26.83,28.11,373454.498074
2022-10-22,28.1,28.23,27.48,28.01,150997.913855
2022-10-23,28.01,29.44,27.73,29.28,275663.906313
2022-10-24,29.28,29.5,28.16,28.32,231155.941207
2022-10-25,28.32,32.31,28.06,30.87,551256.625566
2022-10-26,30.87,32.23,30.63,31.29,436393.708887
2022-10-27,31.28,32.37,30.46,30.58,485971.542565
2022-10-28,30.57,32.57,30.11,32.06,394665.060536
2022-10-29,32.07,33.84,31.86,32.87,357856.488013
2022-10-30,32.87,33.54,31.93,32.95,213581.598236
2022-10-31,32.95,34.4,32.2,32.56,357411.769886
2022-11-01,32.56,33.4,32.15,32.21,162203.476902
2022-11-02,32.21,32.94,30.23,30.82,407965.152113
2022-11-03,30.81,32.24,30.6,30.86,320132.79711
2022-11-04,30.86,34.2,30.65,33.74,444016.350686
2022-11-05,33.74,38.78,33.66,36.9,810899.189633
2022-11-06,36.89,37.05,32.31,32.61,448088.244385
2022-11-07,32.61,33.13,28.07,29.62,996097.124419
2022-11-08,29.62,31.78,20.05,24.37,6581726.899553
2022-11-09,24.37,24.37,12.34,14.08,7465948.50754
2022-11-10,14.09,18.92,13.08,17.68,5655973.69814
2022-11-11,17.67,18.3,15.05,16.46,1771805.255334
2022-11-12,16.47,16.54,14.48,14.58,729085.244026
2022-11-13,14.59,14.74,13.0,13.18,972659.378697
2022-11-14,13.18,15.13,12.07,14.0,1414760.557404
2022-11-15,14.0,15.15,13.84,14.32,550481.099911
2022-11-16,14.32,14.66,13.63,14.26,499211.598677
2022-11-17,14.27,14.5,12.88,13.63,923061.601656
2022-11-18,13.64,13.88,13.0,13.27,544816.651912
2022-11-19,13.27,13.28,12.59,12.85,427080.486613
2022-11-20,12.84,13.58,12.12,12.26,681997.796101
2022-11-21,12.26,12.29,11.27,11.83,713775.038777
2022-11-22,11.84,12.5,10.93,12.44,695751.318374
2022-11-23,12.44,14.6,12.39,14.36,926795.064682
2022-11-24,14.36,14.95,13.85,14.6,666129.022238
2022-11-25,14.6,14.61,13.9,14.02,457544.099069
2022-11-26,14.02,14.98,13.91,14.16,431254.569694
2022-11-27,14.17,14.44,14.05,14.11,322017.681457
